order_id,order_date,customer_id,state,category,sub_category,product_id,price_per_unit,quantity,sale,seller_id
44,10/14/2023,CS137,Chhattisgarh,Technology,Phones,P44,99.99,7,699.93,4
45,1/19/2023,CS138,Gujarat,Office Supplies,Art,P45,3.28,7,22.96,4
46,11/23/2023,CS139,Chhattisgarh,Furniture,Furnishings,P46,9.65,4,38.6,8
47,1/3/2022,CS140,Chhattisgarh,Office Supplies,Art,P47,2.21,3,6.63,2
48,8/18/2022,CS141,Rajasthan,Office Supplies,Envelopes,P22,7.78,3,23.34,10
49,4/13/2022,CS142,Haryana,Furniture,Chairs,P48,355.98,3,1067.94,10
50,10/14/2023,CS132,Manipur,Office Supplies,Paper,P49,9.68,2,19.36,10
51,1/7/2020,CS143,Bihar,Furniture,Furnishings,P46,9.65,2,19.3,10
52,7/12/2020,CS144,Arunachal Pradesh,Office Supplies,Storage,P50,13.98,1,13.98,10
53,5/7/2022,CS145,West Bengal,Furniture,Furnishings,P51,90.98,3,272.94,10
54,5/13/2021,CS126,Nagaland,Office Supplies,Binders,P52,3.81,5,19.05,10
55,1/6/2024,CS121,Kerala,Office Supplies,Appliances,P53,61.93,4,247.72,10
56,2/4/2023,CS146,Nagaland,Office Supplies,Storage,P54,33.29,2,66.58,10
57,10/27/2023,CS130,Assam,Office Supplies,Art,P55,14.64,3,43.92,10
58,11/17/2022,CS147,Tamil Nadu,Furniture,Furnishings,P56,4.91,3,14.73,10
59,8/7/2020,CS148,Odisha,Office Supplies,Binders,P57,5.94,5,29.7,10
60,11/19/2023,CS149,Uttar Pradesh,Office Supplies,Binders,P58,67.19,1,67.19,10
61,8/14/2021,CS150,Tamil Nadu,Furniture,Furnishings,P59,8.42,3,25.25,10
62,11/25/2022,CS132,Bihar,Office Supplies,Paper,P60,6.68,6,40.08,10
63,7/16/2022,CS151,West Bengal,Office Supplies,Fasteners,P61,1.98,3,5.94,10
64,12/5/2021,CS152,Bihar,Furniture,Furnishings,P62,20.94,3,62.82,10
65,1/19/2024,CS153,Gujarat,Office Supplies,Storage,P63,61.24,8,489.92,10
66,3/4/2023,CS154,Bihar,Office Supplies,Paper,P64,6.48,3,19.44,10
67,1/25/2024,CS155,West Bengal,Office Supplies,Paper,P65,8.34,2,16.68,10
68,3/1/2021,CS121,Tripura,Technology,Phones,P66,11.95,13,155.35,10
69,3/7/2023,CS156,Jharkhand,Furniture,Furnishings,P67,4.14,3,12.42,10
70,9/16/2021,CS157,Andhra Pradesh,Technology,Phones,P68,93.99,2,187.98,10
71,12/29/2021,CS158,Nagaland,Office Supplies,Binders,P69,5.34,2,10.68,10
72,12/2/2023,CS107,Uttar Pradesh,Furniture,Bookcases,P70,70.98,2,141.96,10
73,2/10/2021,CS159,Arunachal Pradesh,Office Supplies,Storage,P71,57.23,1,57.23,10
74,11/18/2020,CS137,Odisha,Furniture,Tables,P72,111,3,333,10
75,4/23/2023,CS153,Arunachal Pradesh,Office Supplies,Art,P73,9.11,4,36.44,10
76,11/20/2020,CS118,Arunachal Pradesh,Office Supplies,Binders,P74,3.93,1,3.93,10
77,4/2/2020,CS114,Punjab,Office Supplies,Paper,P75,5.28,2,10.56,10
78,4/10/2021,CS138,Manipur,Office Supplies,Storage,P76,114.97,2,229.94,10
79,2/26/2023,CS112,Himachal Pradesh,Furniture,Bookcases,P77,145.34,2,290.67,10
80,10/9/2020,CS146,West Bengal,Technology,Accessories,P78,78.15,6,468.9,10
81,6/5/2020,CS160,Assam,Office Supplies,Fasteners,P79,2.47,5,12.35,10
82,6/4/2022,CS117,Rajasthan,Office Supplies,Binders,P80,9.17,2,18.34,10
83,3/1/2020,CS161,Maharashtra,Technology,Phones,P81,36.19,5,180.96,10
84,11/22/2023,CS162,Himachal Pradesh,Office Supplies,Binders,P82,41.92,2,83.84,10
85,1/28/2024,CS150,Manipur,Office Supplies,Binders,P83,4.42,3,13.27,10
86,12/16/2023,CS163,Jharkhand,Office Supplies,Binders,P84,27.63,3,82.9,10
87,10/23/2023,CS163,Andhra Pradesh,Office Supplies,Paper,P85,8.56,4,34.24,10
88,5/16/2023,CS164,Maharashtra,Office Supplies,Binders,P40,8.63,2,17.25,10
89,9/7/2020,CS103,Odisha,Office Supplies,Labels,P86,3.75,4,15,10
90,5/14/2023,CS165,Tamil Nadu,Technology,Phones,P87,161.61,1,161.61,10
91,9/18/2020,CS102,Jharkhand,Technology,Phones,P88,28.99,5,144.95,10
92,3/12/2021,CS130,Mizoram,Office Supplies,Binders,P89,4.48,2,8.95,10
93,5/10/2023,CS166,Maharashtra,Technology,Accessories,P90,16.48,7,115.36,10
94,8/15/2023,CS167,Gujarat,Office Supplies,Storage,P91,16.24,4,64.96,10
95,5/24/2023,CS144,Assam,Furniture,Furnishings,P92,7.28,2,14.56,10
96,12/28/2023,CS168,Maharashtra,Technology,Accessories,P78,78.15,3,234.45,10
97,4/5/2023,CS141,Maharashtra,Furniture,Tables,P93,209.37,6,1256.22,10
98,12/4/2023,CS169,Andhra Pradesh,Office Supplies,Binders,P94,8.73,2,17.46,10
99,1/1/2021,CS170,West Bengal,Furniture,Chairs,P95,60.89,1,60.89,10
100,9/22/2023,CS171,Jharkhand,Office Supplies,Labels,P96,4.98,3,14.94,10
101,3/25/2020,CS169,Madhya Pradesh,Office Supplies,Binders,P97,4.82,2,9.64,10
102,5/27/2022,CS172,Haryana,Furniture,Furnishings,P98,110.98,3,332.94,10
103,3/19/2021,CS170,West Bengal,Office Supplies,Binders,P99,17.3,3,51.9,10
104,12/6/2023,CS173,Uttar Pradesh,Office Supplies,Storage,P100,32.48,2,64.96,10
105,7/24/2020,CS174,Mizoram,Furniture,Chairs,P101,64.79,2,129.57,10
106,7/24/2020,CS165,Odisha,Office Supplies,Paper,P102,5.39,3,16.18,10
107,5/7/2021,CS125,Assam,Technology,Accessories,P103,79.99,3,239.97,10
108,1/29/2023,CS145,Bihar,Office Supplies,Appliances,P104,40.98,2,81.96,10
109,1/3/2024,CS124,Nagaland,Office Supplies,Supplies,P105,119.31,2,238.62,10
110,1/4/2024,CS175,Arunachal Pradesh,Office Supplies,Binders,P106,4.27,5,21.36,10
111,2/12/2023,CS176,Sikkim,Office Supplies,Binders,P107,0.36,3,1.08,10
112,6/5/2020,CS177,Tripura,Office Supplies,Appliances,P108,3.98,2,7.96,10
113,12/24/2021,CS159,Bihar,Office Supplies,Art,P109,3.87,14,54.21,10
114,11/20/2023,CS178,Maharashtra,Furniture,Furnishings,P110,5.03,5,25.16,10
115,1/12/2023,CS163,Nagaland,Office Supplies,Storage,P111,6.31,2,12.62,10
116,5/25/2022,CS109,Andhra Pradesh,Technology,Accessories,P112,20.77,3,62.31,10
117,6/6/2020,CS138,Uttarakhand,Furniture,Furnishings,P113,5.08,4,20.32,10
118,7/26/2020,CS179,Manipur,Office Supplies,Paper,P114,6.48,2,12.96,10
119,8/11/2020,CS132,Assam,Office Supplies,Binders,P4,1.77,5,8.85,10
120,2/25/2023,CS119,Uttarakhand,Office Supplies,Paper,P115,6.48,3,19.44,10
121,6/21/2021,CS145,Jharkhand,Office Supplies,Labels,P116,2.31,3,6.94,10
122,11/3/2021,CS180,Chhattisgarh,Office Supplies,Binders,P117,1.48,3,4.43,10
123,11/25/2022,CS153,Andhra Pradesh,Office Supplies,Paper,P1,8.23,4,32.9,10
124,12/16/2020,CS118,Assam,Office Supplies,Paper,P118,7.59,3,22.78,10
125,2/22/2023,CS116,Mizoram,Office Supplies,Art,P119,4.87,4,19.46,10
126,11/29/2020,CS122,Tripura,Furniture,Chairs,P8,228.79,2,457.57,10
127,9/28/2021,CS141,Assam,Technology,Phones,P120,1.98,3,5.94,10
128,11/1/2022,CS154,Himachal Pradesh,Furniture,Chairs,P121,105.69,6,634.12,10
129,7/13/2020,CS132,Madhya Pradesh,Office Supplies,Paper,P122,5.82,3,17.47,10
130,6/2/2020,CS181,Uttar Pradesh,Office Supplies,Fasteners,P123,3.77,5,18.84,10
131,3/11/2020,CS132,West Bengal,Furniture,Chairs,P124,60.38,6,362.25,10
132,8/19/2021,CS130,Tamil Nadu,Furniture,Furnishings,P35,10.59,6,63.55,10
133,12/4/2020,CS182,Mizoram,Office Supplies,Storage,P125,43.18,3,129.55,10
134,7/3/2020,CS121,Maharashtra,Office Supplies,Storage,P71,45.78,3,137.35,10
135,4/16/2020,CS152,Jharkhand,Furniture,Tables,P126,125.5,3,376.51,10
136,9/7/2023,CS161,Himachal Pradesh,Office Supplies,Envelopes,P22,5.68,2,11.36,10
137,4/5/2020,CS159,Maharashtra,Office Supplies,Paper,P127,7.28,5,36.4,10
138,12/8/2021,CS102,Arunachal Pradesh,Office Supplies,Paper,P128,3.42,1,3.42,10
139,11/24/2020,CS147,Himachal Pradesh,Technology,Accessories,P129,50.4,3,151.2,10
140,3/24/2021,CS130,Sikkim,Office Supplies,Art,P119,4.87,4,19.46,10
141,12/9/2023,CS175,Andhra Pradesh,Technology,Phones,P130,9.99,1,9.99,10
142,9/28/2022,CS179,Bihar,Office Supplies,Binders,P82,41.92,3,125.76,10
143,10/27/2020,CS107,Chhattisgarh,Office Supplies,Binders,P131,5.06,5,25.32,10
144,8/28/2023,CS142,Assam,Office Supplies,Labels,P132,5.04,3,15.12,10
145,1/26/2020,CS106,Mizoram,Furniture,Bookcases,P43,60.49,5,302.45,10
146,12/24/2023,CS103,Goa,Office Supplies,Storage,P133,5.58,8,44.67,10
147,2/23/2022,CS129,Arunachal Pradesh,Office Supplies,Appliances,P134,58.92,3,176.77,10
148,11/17/2023,CS183,Manipur,Furniture,Tables,P135,208.78,3,626.35,10
149,2/17/2020,CS146,Sikkim,Office Supplies,Storage,P136,70.98,5,354.9,10
150,5/15/2020,CS184,Himachal Pradesh,Office Supplies,Art,P137,5.18,3,15.55,10
151,1/3/2022,CS185,Haryana,Office Supplies,Art,P138,19.84,3,59.52,10
152,6/8/2022,CS102,Jharkhand,Technology,Accessories,P139,159.99,3,479.97,10
153,4/7/2023,CS138,Kerala,Office Supplies,Supplies,P140,9.31,2,18.62,10
154,2/2/2022,CS186,Kerala,Office Supplies,Binders,P141,8.27,6,49.63,10
155,1/1/2021,CS187,Madhya Pradesh,Office Supplies,Paper,P142,48.91,2,97.82,10
156,2/28/2021,CS176,Manipur,Furniture,Chairs,P143,48.71,1,48.71,10
157,5/15/2022,CS160,Assam,Office Supplies,Art,P144,5.98,3,17.94,10
158,11/19/2020,CS188,Meghalaya,Office Supplies,Storage,P145,80.98,3,242.94,10
159,8/5/2020,CS140,Tamil Nadu,Office Supplies,Binders,P146,53.83,2,107.65,10
160,1/11/2024,CS156,West Bengal,Office Supplies,Art,P147,4.13,5,20.65,10
161,8/22/2021,CS172,Assam,Office Supplies,Storage,P148,40.98,5,204.9,10
162,10/25/2020,CS189,Punjab,Furniture,Chairs,P149,72.78,6,436.7,10
163,9/12/2022,CS190,Uttar Pradesh,Furniture,Chairs,P150,240.79,2,481.57,10
164,12/1/2022,CS179,Mizoram,Office Supplies,Paper,P151,11.19,2,22.38,10
165,5/3/2021,CS186,Bihar,Office Supplies,Storage,P28,212.14,3,636.41,10
166,10/16/2020,CS143,Telangana,Office Supplies,Art,P152,20.79,4,83.17,10
167,10/20/2021,CS112,Gujarat,Furniture,Furnishings,P153,1.66,5,8.32,10
168,11/2/2022,CS103,Odisha,Office Supplies,Fasteners,P154,1.74,6,10.46,10
169,1/25/2022,CS172,Andhra Pradesh,Office Supplies,Paper,P155,7.78,14,108.92,10
170,11/21/2020,CS106,Manipur,Office Supplies,Appliances,P156,48.92,3,146.76,10
171,1/3/2023,CS162,West Bengal,Technology,Accessories,P90,16.48,2,32.96,10
172,4/1/2023,CS191,Rajasthan,Technology,Phones,P157,195.99,3,587.97,10
173,10/29/2023,CS163,Haryana,Office Supplies,Paper,P158,4.98,3,14.94,10
174,7/25/2022,CS192,Haryana,Office Supplies,Art,P159,2.66,3,7.98,10
175,11/2/2022,CS117,Uttarakhand,Office Supplies,Paper,P75,5.28,2,10.56,9
176,3/19/2023,CS193,Madhya Pradesh,Office Supplies,Art,P160,3.38,1,3.38,8
177,9/14/2022,CS117,Rajasthan,Furniture,Chairs,P161,284.98,4,1139.92,3
178,7/20/2021,CS119,Uttar Pradesh,Office Supplies,Binders,P141,8.27,4,33.09,2
179,2/2/2021,CS194,Jharkhand,Office Supplies,Storage,P162,80.98,1,80.98,9
180,1/23/2020,CS179,Jharkhand,Technology,Accessories,P163,6.9,12,82.8,8
181,5/4/2021,CS180,Chhattisgarh,Office Supplies,Storage,P164,10.68,2,21.36,9
182,9/8/2022,CS121,Himachal Pradesh,Office Supplies,Binders,P165,31.03,2,62.05,5
183,1/13/2022,CS159,Meghalaya,Technology,Machines,P166,287.46,2,574.91,4
184,11/20/2020,CS166,Goa,Office Supplies,Paper,P167,4.23,2,8.45,7
185,6/24/2021,CS150,Tripura,Office Supplies,Paper,P168,15.18,6,91.06,2
186,11/22/2023,CS140,Madhya Pradesh,Office Supplies,Storage,P169,142.78,1,142.78,10
187,4/5/2020,CS150,Andhra Pradesh,Furniture,Furnishings,P170,15.23,3,45.7,4
188,1/11/2023,CS195,Meghalaya,Office Supplies,Binders,P171,2.41,3,7.22,4
189,3/6/2022,CS196,Kerala,Office Supplies,Binders,P172,10.8,4,43.19,4
190,1/11/2021,CS118,Tamil Nadu,Office Supplies,Paper,P173,43.97,3,131.9,9
191,6/23/2021,CS107,Madhya Pradesh,Technology,Phones,P174,235.96,2,471.92,8
192,1/16/2022,CS104,Jharkhand,Office Supplies,Appliances,P175,46.89,2,93.78,7
193,12/25/2020,CS124,Goa,Office Supplies,Paper,P102,6.74,7,47.18,7
194,7/3/2021,CS197,Telangana,Office Supplies,Art,P176,3.28,6,19.68,1
195,10/2/2023,CS126,Kerala,Office Supplies,Binders,P69,5.34,10,53.4,7
196,8/24/2022,CS147,Telangana,Office Supplies,Binders,P177,5.98,6,35.88,9
197,10/29/2021,CS119,Madhya Pradesh,Furniture,Tables,P178,225.68,7,1579.75,10
198,8/12/2020,CS198,Haryana,Furniture,Tables,P179,267.9,4,1071.58,7
199,7/3/2023,CS101,Jharkhand,Furniture,Tables,P180,204.64,3,613.91,2
200,10/24/2020,CS106,West Bengal,Office Supplies,Paper,P181,4.98,7,34.86,10
201,1/25/2021,CS156,West Bengal,Office Supplies,Paper,P182,38.76,4,155.04,7
202,1/4/2021,CS120,Uttarakhand,Office Supplies,Art,P183,2.23,2,4.45,10
203,4/25/2022,CS199,Telangana,Office Supplies,Paper,P184,5.18,1,5.18,7
204,3/31/2023,CS200,Jharkhand,Office Supplies,Paper,P185,5.18,3,15.55,9
205,8/6/2020,CS119,Arunachal Pradesh,Office Supplies,Binders,P52,3.81,3,11.43,10
206,12/14/2021,CS201,Uttar Pradesh,Office Supplies,Binders,P186,15.22,2,30.44,4
207,4/6/2023,CS202,Telangana,Office Supplies,Paper,P187,6.48,2,12.96,1
208,9/4/2022,CS167,Telangana,Office Supplies,Paper,P188,4,4,16,9
209,1/30/2024,CS136,Mizoram,Office Supplies,Appliances,P189,10.89,3,32.67,9
210,10/15/2020,CS150,Tripura,Office Supplies,Paper,P190,21.1,6,126.62,9
211,11/17/2023,CS118,Gujarat,Technology,Machines,P166,205.33,4,821.3,8
212,12/19/2023,CS141,Tripura,Technology,Machines,P191,3773.08,6,22638.48,8
213,5/6/2020,CS201,Himachal Pradesh,Office Supplies,Paper,P60,5.35,4,21.38,10
214,5/29/2022,CS177,Bihar,Office Supplies,Art,P192,2.67,3,8.02,7
215,9/8/2022,CS102,Nagaland,Furniture,Furnishings,P193,15.39,2,30.77,1
216,6/20/2022,CS106,Punjab,Office Supplies,Fasteners,P79,6.31,3,18.94,8
217,12/8/2022,CS203,Maharashtra,Furniture,Furnishings,P194,40.78,3,122.35,5
218,4/26/2023,CS143,Meghalaya,Furniture,Bookcases,P195,119.83,10,1198.33,6
219,3/14/2022,CS198,Andhra Pradesh,Furniture,Furnishings,P196,55.5,2,111,3
220,11/11/2021,CS204,Punjab,Technology,Machines,P197,319.99,4,1279.97,1
221,8/5/2020,CS135,Sikkim,Office Supplies,Storage,P28,265.17,7,1856.19,7
222,1/26/2022,CS205,Uttarakhand,Technology,Phones,P198,107.99,3,323.98,6
223,8/13/2021,CS123,Mizoram,Office Supplies,Labels,P199,2.95,4,11.81,1
224,8/26/2023,CS114,Nagaland,Office Supplies,Storage,P200,8.72,3,26.16,2
225,9/25/2021,CS206,Tamil Nadu,Office Supplies,Binders,P89,6.71,5,33.57,1
226,3/23/2022,CS182,Madhya Pradesh,Furniture,Furnishings,P153,1.66,3,4.99,1
227,5/29/2020,CS118,Nagaland,Furniture,Furnishings,P201,6.67,3,20.02,9
228,10/18/2021,CS192,Himachal Pradesh,Technology,Accessories,P202,85.12,2,170.24,9
229,8/24/2020,CS207,Meghalaya,Office Supplies,Art,P203,3.71,2,7.41,8
230,4/28/2023,CS115,Karnataka,Office Supplies,Art,P204,2.02,3,6.05,10
231,3/1/2022,CS196,Tamil Nadu,Office Supplies,Storage,P205,16.27,1,16.27,9
232,6/27/2021,CS138,Karnataka,Technology,Phones,P206,499.99,7,3499.93,6
233,10/12/2022,CS110,Odisha,Office Supplies,Labels,P207,2.88,5,14.4,1
234,9/30/2021,CS108,Arunachal Pradesh,Office Supplies,Paper,P208,40.99,3,122.97,9
235,6/28/2021,CS103,Bihar,Office Supplies,Art,P209,2.33,4,9.32,4
236,11/28/2021,CS208,Uttarakhand,Office Supplies,Binders,P210,40.98,3,122.94,6
237,12/11/2022,CS209,Maharashtra,Office Supplies,Labels,P211,11.84,5,59.2,8
238,2/5/2023,CS159,Karnataka,Furniture,Furnishings,P212,10.98,3,32.95,10
239,8/4/2021,CS145,Meghalaya,Furniture,Chairs,P27,72.79,3,218.38,3
240,2/28/2022,CS120,Tamil Nadu,Office Supplies,Binders,P213,1.91,4,7.64,8
241,10/20/2020,CS210,Kerala,Office Supplies,Binders,P214,10.29,5,51.47,5
242,1/9/2024,CS211,Andhra Pradesh,Office Supplies,Paper,P215,24.78,3,74.35,2
243,6/29/2022,CS212,Mizoram,Furniture,Chairs,P216,104.78,3,314.35,1
244,11/29/2022,CS208,Himachal Pradesh,Office Supplies,Art,P5,8.14,2,16.28,2
245,10/30/2022,CS131,West Bengal,Office Supplies,Storage,P217,165.2,2,330.4,2
246,5/11/2021,CS213,Odisha,Technology,Phones,P218,100.79,6,604.75,10
247,4/20/2023,CS200,Rajasthan,Office Supplies,Labels,P219,3.3,3,9.91,9
248,1/30/2023,CS114,Telangana,Office Supplies,Paper,P220,4.98,5,24.9,9
249,5/30/2022,CS193,Telangana,Furniture,Furnishings,P221,20.24,2,40.48,3
250,12/7/2020,CS145,Jharkhand,Furniture,Chairs,P222,52.4,7,366.79,2
251,3/9/2021,CS110,Chhattisgarh,Office Supplies,Art,P176,3.28,2,6.56,5
252,7/22/2023,CS214,Assam,Office Supplies,Art,P223,7.44,2,14.88,10
253,12/8/2021,CS179,Punjab,Technology,Accessories,P224,11.37,4,45.48,6
254,12/19/2022,CS116,Kerala,Office Supplies,Art,P225,4.24,6,25.44,10
255,2/7/2024,CS120,Goa,Technology,Accessories,P226,22.1,3,66.3,2
256,2/19/2021,CS169,Kerala,Office Supplies,Art,P227,1.68,2,3.36,10
257,2/8/2024,CS108,Arunachal Pradesh,Office Supplies,Binders,P94,6.99,4,27.94,8
258,7/2/2020,CS133,Tripura,Technology,Phones,P228,14.39,2,28.78,3
259,6/30/2023,CS215,Uttarakhand,Office Supplies,Labels,P229,3.75,5,18.75,3
260,4/18/2022,CS193,Andhra Pradesh,Office Supplies,Envelopes,P230,2.04,3,6.12,1
261,4/22/2022,CS160,Rajasthan,Furniture,Tables,P231,296.18,4,1184.72,8
262,12/23/2021,CS216,West Bengal,Technology,Phones,P232,100.79,3,302.38,8
263,12/25/2021,CS133,Andhra Pradesh,Furniture,Tables,P233,330.59,1,330.59,4
264,1/1/2024,CS162,Jharkhand,Furniture,Tables,P234,296.95,3,890.84,8
265,5/19/2020,CS103,Jharkhand,Office Supplies,Art,P235,9.93,5,49.65,1
266,4/20/2022,CS217,Arunachal Pradesh,Office Supplies,Storage,P236,5.28,3,15.84,7
267,3/15/2023,CS122,Rajasthan,Office Supplies,Labels,P237,14.8,3,44.4,6
268,9/4/2021,CS134,Tripura,Office Supplies,Art,P238,2.1,5,10.5,3
269,4/24/2020,CS213,Telangana,Furniture,Bookcases,P239,102.84,2,205.67,6
270,2/26/2020,CS118,Odisha,Office Supplies,Envelopes,P240,67.14,5,335.72,5
271,6/19/2021,CS121,Meghalaya,Technology,Phones,P241,35.99,7,251.94,9
272,7/28/2022,CS162,Madhya Pradesh,Furniture,Chairs,P242,18.19,7,127.3,2
273,5/11/2022,CS125,West Bengal,Office Supplies,Storage,P243,64.65,2,129.3,3
274,11/7/2022,CS110,Mizoram,Office Supplies,Binders,P244,336.79,2,673.57,1
275,2/21/2023,CS161,Jharkhand,Office Supplies,Appliances,P245,26.49,2,52.98,8
276,9/27/2022,CS144,Bihar,Office Supplies,Binders,P246,0.85,1,0.85,9
277,7/8/2021,CS218,Uttar Pradesh,Office Supplies,Binders,P247,1.16,7,8.13,2
278,2/27/2020,CS193,Uttar Pradesh,Technology,Accessories,P248,39.99,2,79.98,7
279,2/28/2021,CS200,Uttar Pradesh,Office Supplies,Binders,P249,1.87,1,1.87,1
280,8/17/2022,CS147,Tamil Nadu,Furniture,Chairs,P250,160.78,7,1125.49,3
281,9/21/2021,CS133,Haryana,Office Supplies,Binders,P251,2.53,5,12.65,7
282,12/19/2022,CS203,Odisha,Office Supplies,Art,P204,2.02,2,4.03,4
283,3/9/2023,CS127,Karnataka,Office Supplies,Labels,P237,14.8,2,29.6,10
284,1/18/2023,CS148,Gujarat,Office Supplies,Binders,P252,4.27,4,17.09,8
285,9/1/2020,CS215,Haryana,Office Supplies,Storage,P253,16.74,4,66.96,1
286,10/26/2023,CS184,Haryana,Office Supplies,Binders,P254,3.12,2,6.24,10
287,1/1/2020,CS219,Goa,Office Supplies,Paper,P255,5.28,3,15.84,8
288,10/31/2022,CS220,Himachal Pradesh,Technology,Phones,P256,149.99,7,1049.93,8
289,11/13/2020,CS221,Mizoram,Office Supplies,Appliances,P257,30.98,5,154.9,7
290,10/18/2020,CS218,Chhattisgarh,Office Supplies,Paper,P258,5.34,5,26.72,4
291,5/19/2023,CS190,Nagaland,Office Supplies,Paper,P259,4.78,7,33.49,1
292,8/22/2021,CS132,Odisha,Furniture,Furnishings,P260,88.84,2,177.68,5
293,6/22/2022,CS103,Jharkhand,Office Supplies,Envelopes,P22,5.58,2,11.16,2
294,7/1/2022,CS182,Rajasthan,Technology,Accessories,P112,20.77,3,62.31,6
295,11/24/2023,CS101,West Bengal,Technology,Accessories,P103,79.99,2,159.98,7
296,7/3/2022,CS222,Chhattisgarh,Office Supplies,Labels,P261,3.15,6,18.9,3
297,10/8/2022,CS198,Manipur,Furniture,Furnishings,P262,5.47,1,5.47,4
298,5/6/2022,CS207,Sikkim,Office Supplies,Art,P263,19.84,4,79.36,10
299,5/29/2022,CS218,Punjab,Office Supplies,Binders,P264,3.59,2,7.18,4
300,12/31/2022,CS111,Haryana,Office Supplies,Storage,P265,46.51,5,232.55,2
301,5/31/2023,CS140,Telangana,Technology,Accessories,P266,49.99,2,99.98,3
302,9/22/2020,CS113,Chhattisgarh,Office Supplies,Paper,P267,6.48,3,19.44,7
303,12/24/2021,CS109,Kerala,Office Supplies,Paper,P184,6.48,2,12.96,2
304,7/10/2022,CS217,Andhra Pradesh,Office Supplies,Paper,P268,55.48,1,55.48,4
305,7/25/2023,CS131,Goa,Office Supplies,Art,P269,3.28,7,22.96,7
306,3/13/2023,CS202,Haryana,Technology,Phones,P88,28.99,1,28.99,10
